n,k,comparisons,swaps
100,1,173,86
100,1,245,157
100,1,156,74
100,1,141,53
100,1,267,186
100,1,125,37
100,1,216,128
100,1,389,317
100,1,257,166
100,1,178,88
100,1,142,61
100,1,231,146
100,1,166,81
100,1,196,106
100,1,233,145
100,1,136,46
100,1,219,141
100,1,269,188
100,1,129,39
100,1,99,2
100,1,191,103
100,1,123,35
100,1,210,122
100,1,130,39
100,1,224,140
100,1,244,162
100,1,215,130
100,1,257,179
100,1,271,183
100,1,258,173
100,1,102,9
100,1,240,156
100,1,127,39
100,1,230,149
100,1,194,107
100,1,258,174
100,1,168,81
100,1,271,193
100,1,144,53
100,1,237,149
100,1,111,21
100,1,139,48
100,1,146,59
100,1,164,79
100,1,135,54
100,1,115,28
100,1,112,28
100,1,207,122
100,1,161,74
100,1,217,132
100,50,402,310
100,50,253,185
100,50,188,71
100,50,189,73
100,50,385,228
100,50,99,51
100,50,367,174
100,50,264,165
100,50,424,259
100,50,421,239
100,50,296,149
100,50,182,121
100,50,411,182
100,50,360,252
100,50,307,78
100,50,403,192
100,50,294,157
100,50,269,174
100,50,349,197
100,50,155,60
100,50,217,91
100,50,452,133
100,50,218,127
100,50,312,144
100,50,468,346
100,50,244,161
100,50,264,169
100,50,384,152
100,50,278,116
100,50,317,181
100,50,364,245
100,50,174,126
100,50,273,99
100,50,204,121
100,50,263,187
100,50,257,151
100,50,332,218
100,50,237,126
100,50,340,234
100,50,347,129
100,50,345,176
100,50,481,303
100,50,228,113
100,50,383,171
100,50,334,212
100,50,232,150
100,50,218,129
100,50,230,100
100,50,343,259
100,50,477,119
100,100,178,103
100,100,288,107
100,100,202,104
100,100,161,101
100,100,159,104
100,100,203,103
100,100,194,102
100,100,236,105
100,100,148,104
100,100,329,106
100,100,170,105
100,100,137,103
100,100,207,105
100,100,162,107
100,100,135,102
100,100,154,104
100,100,267,107
100,100,234,107
100,100,120,102
100,100,291,104
100,100,238,103
100,100,149,103
100,100,139,103
100,100,210,110
100,100,211,104
100,100,271,106
100,100,153,104
100,100,172,102
100,100,210,106
100,100,139,103
100,100,128,103
100,100,171,102
100,100,309,108
100,100,234,105
100,100,168,102
100,100,188,102
100,100,201,102
100,100,161,105
100,100,118,102
100,100,372,107
100,100,156,104
100,100,398,110
100,100,196,103
100,100,200,105
100,100,132,103
100,100,143,104
100,100,261,105
100,100,279,107
100,100,132,104
100,100,159,102
200,1,353,159
200,1,390,217
200,1,475,294
200,1,445,266
200,1,273,83
200,1,366,184
200,1,567,389
200,1,1000,827
200,1,533,351
200,1,538,354
200,1,463,282
200,1,281,99
200,1,496,320
200,1,711,539
200,1,447,265
200,1,720,554
200,1,277,89
200,1,260,70
200,1,235,51
200,1,375,194
200,1,479,303
200,1,282,95
200,1,396,209
200,1,360,170
200,1,436,261
200,1,330,151
200,1,319,137
200,1,233,40
200,1,593,417
200,1,282,94
200,1,404,220
200,1,456,271
200,1,208,15
200,1,250,59
200,1,274,80
200,1,274,86
200,1,223,35
200,1,557,379
200,1,321,131
200,1,625,447
200,1,372,181
200,1,448,266
200,1,293,106
200,1,371,183
200,1,288,104
200,1,484,314
200,1,480,299
200,1,906,743
200,1,412,231
200,1,347,166
200,100,640,257
200,100,741,250
200,100,589,299
200,100,762,452
200,100,464,201
200,100,952,415
200,100,827,561
200,100,418,187
200,100,492,281
200,100,538,332
200,100,543,204
200,100,584,310
200,100,379,182
200,100,644,272
200,100,713,478
200,100,419,248
200,100,821,431
200,100,575,307
200,100,713,334
200,100,615,345
200,100,846,254
200,100,590,387
200,100,515,185
200,100,805,521
200,100,338,205
200,100,546,237
200,100,791,440
200,100,415,224
200,100,724,526
200,100,722,211
200,100,824,344
200,100,394,145
200,100,617,164
200,100,831,570
200,100,729,334
200,100,473,222
200,100,578,323
200,100,812,448
200,100,389,202
200,100,648,436
200,100,348,128
200,100,670,317
200,100,1130,707
200,100,656,225
200,100,623,372
200,100,698,367
200,100,702,420
200,100,511,410
200,100,392,238
200,100,810,495
200,200,461,206
200,200,432,205
200,200,222,202
200,200,565,207
200,200,431,206
200,200,786,208
200,200,503,209
200,200,287,204
200,200,306,202
200,200,332,206
200,200,476,206
200,200,243,203
200,200,609,206
200,200,519,205
200,200,200,202
200,200,430,205
200,200,549,207
200,200,220,203
200,200,659,209
200,200,340,204
200,200,324,206
200,200,338,203
200,200,567,205
200,200,265,201
200,200,291,205
200,200,323,206
200,200,579,208
200,200,462,207
200,200,496,205
200,200,218,203
200,200,498,204
200,200,372,204
200,200,750,208
200,200,319,206
200,200,247,204
200,200,491,207
200,200,240,203
200,200,261,205
200,200,251,204
