n,k,comparisons,swaps
100,1,244,202
100,1,258,225
100,1,246,211
100,1,250,211
100,1,256,230
100,1,228,183
100,1,236,192
100,1,242,201
100,1,250,214
100,1,254,222
100,1,254,217
100,1,247,214
100,1,241,200
100,1,258,228
100,1,264,233
100,1,236,199
100,1,228,187
100,1,246,209
100,1,242,202
100,1,266,241
100,1,246,217
100,1,240,196
100,1,286,255
100,1,247,211
100,1,237,198
100,1,250,218
100,1,253,220
100,1,236,192
100,1,222,178
100,1,278,251
100,1,231,187
100,1,238,196
100,1,272,251
100,1,246,209
100,1,251,222
100,1,243,204
100,1,223,177
100,1,248,210
100,1,246,210
100,1,245,208
100,1,254,220
100,1,215,168
100,1,265,232
100,1,252,223
100,1,251,216
100,1,218,173
100,1,235,201
100,1,258,225
100,1,259,226
100,1,233,189
100,50,246,204
100,50,148,125
100,50,255,219
100,50,236,192
100,50,232,184
100,50,259,223
100,50,122,92
100,50,243,199
100,50,263,228
100,50,249,207
100,50,248,207
100,50,284,244
100,50,263,228
100,50,122,92
100,50,244,204
100,50,139,112
100,50,262,231
100,50,122,92
100,50,264,229
100,50,251,219
100,50,249,206
100,50,139,112
100,50,270,236
100,50,225,179
100,50,237,199
100,50,266,222
100,50,229,193
100,50,245,210
100,50,254,216
100,50,261,227
100,50,242,200
100,50,250,211
100,50,276,247
100,50,265,229
100,50,259,227
100,50,248,212
100,50,261,225
100,50,268,227
100,50,227,192
100,50,268,236
100,50,257,225
100,50,257,220
100,50,246,214
100,50,286,255
100,50,249,215
100,50,268,245
100,50,252,218
100,50,264,225
100,50,265,232
100,50,283,237
100,100,236,209
100,100,254,221
100,100,212,189
100,100,236,201
100,100,250,222
100,100,237,204
100,100,241,206
100,100,241,217
100,100,219,186
100,100,230,197
100,100,242,202
100,100,239,200
100,100,271,231
100,100,237,202
100,100,244,202
100,100,232,194
100,100,236,193
100,100,219,193
100,100,220,196
100,100,227,198
100,100,232,189
100,100,239,206
100,100,246,215
100,100,215,191
100,100,236,204
100,100,239,202
100,100,230,209
100,100,233,196
100,100,247,211
100,100,255,215
100,100,227,185
100,100,262,222
100,100,251,224
100,100,285,237
100,100,256,225
100,100,217,180
100,100,230,202
100,100,231,204
100,100,230,204
100,100,241,207
100,100,247,213
100,100,260,225
100,100,244,216
100,100,246,205
100,100,246,211
100,100,246,206
100,100,228,188
100,100,226,185
100,100,237,200
100,100,244,208
200,1,570,469
200,1,546,456
200,1,527,414
200,1,541,443
200,1,496,385
200,1,551,460
200,1,462,358
200,1,547,444
200,1,491,388
200,1,485,381
200,1,512,403
200,1,531,433
200,1,568,489
200,1,565,462
200,1,558,452
200,1,549,458
200,1,520,420
200,1,533,426
200,1,539,448
200,1,506,405
200,1,510,407
200,1,540,434
200,1,526,422
200,1,506,407
200,1,520,420
200,1,511,415
200,1,536,432
200,1,537,432
200,1,540,441
200,1,500,394
200,1,555,455
200,1,531,437
200,1,548,448
200,1,491,388
200,1,500,387
200,1,530,422
200,1,518,418
200,1,526,428
200,1,472,374
200,1,526,428
200,1,530,430
200,1,471,363
200,1,545,450
200,1,525,420
200,1,548,443
200,1,501,390
200,1,534,437
200,1,485,382
200,1,531,418
200,1,502,409
200,100,527,423
200,100,285,212
200,100,251,188
200,100,526,431
200,100,555,458
200,100,300,228
200,100,532,416
200,100,543,435
200,100,518,408
200,100,524,412
200,100,554,452
200,100,541,440
200,100,479,372
200,100,536,430
200,100,550,437
200,100,533,421
200,100,562,454
200,100,542,427
200,100,562,464
200,100,293,237
200,100,535,432
200,100,251,188
200,100,532,429
200,100,524,415
200,100,560,463
200,100,538,427
200,100,566,472
200,100,587,493
200,100,506,406
200,100,537,453
200,100,545,427
200,100,573,457
200,100,569,467
200,100,563,459
200,100,549,445
200,100,541,458
200,100,539,436
200,100,576,479
200,100,542,439
200,100,544,443
200,100,571,471
200,100,548,459
200,100,544,442
200,100,542,447
200,100,540,430
200,100,536,423
200,100,540,430
200,100,512,391
200,100,292,227
200,100,290,230
200,200,510,419
200,200,512,414
200,200,529,443
200,200,540,447
200,200,555,449
200,200,535,438
200,200,570,471
200,200,511,414
200,200,516,418
200,200,577,453
200,200,485,401
200,200,507,408
200,200,495,404
200,200,529,425
200,200,524,427
200,200,458,388
200,200,542,457
200,200,542,441
200,200,541,448
200,200,513,424
200,200,459,371
200,200,478,383
200,200,549,440
200,200,508,397
200,200,539,444
200,200,532,422
200,200,500,402
200,200,543,432
200,200,520,426
200,200,510,410
200,200,482,389
200,200,562,451
200,200,567,453
200,200,524,423
200,200,501,394
200,200,552,428
200,200,489,401
200,200,548,433
