n,scenario,comparisons,time
1000,begin,9,1.8e-07
1000,middle,9,1.2e-07
1000,end,10,1.3e-07
1000,missing,9,1.4e-07
1000,random,9,1.3106e-07
2000,begin,10,1.61e-07
2000,middle,10,1.4e-07
2000,end,11,1.7e-07
2000,missing,10,1.11e-07
2000,random,10.2,1.407e-07
3000,begin,11,1.2e-07
3000,middle,11,1.2e-07
3000,end,12,1.9e-07
3000,missing,11,1.2e-07
3000,random,10.54,1.443e-07
4000,begin,11,1.1e-07
4000,middle,11,1.1e-07
4000,end,12,1e-07
4000,missing,11,1.2e-07
4000,random,10.64,1.455e-07
5000,begin,12,1.2e-07
5000,middle,12,1.2e-07
5000,end,13,1.5e-07
5000,missing,12,1.5e-07
5000,random,11.2,1.5016e-07
6000,begin,12,1.11e-07
6000,middle,12,7e-08
6000,end,13,1.5e-07
6000,missing,12,9e-08
6000,random,11.5,1.5354e-07
7000,begin,12,1e-07
7000,middle,12,8e-08
7000,end,13,1e-07
7000,missing,12,1e-07
7000,random,11.7,1.523e-07
8000,begin,12,7e-08
8000,middle,12,8.1e-08
8000,end,13,1e-07
8000,missing,12,9e-08
8000,random,11.94,1.5354e-07
9000,begin,13,1.2e-07
9000,middle,13,1.1e-07
9000,end,14,1.3e-07
9000,missing,13,1.2e-07
9000,random,11.92,1.5786e-07
10000,begin,13,1.1e-07
10000,middle,13,1e-07
10000,end,14,1.11e-07
10000,missing,13,1.1e-07
10000,random,12.26,1.6276e-07
11000,begin,13,1e-07
11000,middle,13,1e-07
11000,end,14,1e-07
11000,missing,13,1.1e-07
11000,random,12.34,1.6516e-07
12000,begin,13,9e-08
12000,middle,13,1e-07
12000,end,14,1e-07
12000,missing,13,1e-07
12000,random,12.68,1.729e-07
13000,begin,13,9e-08
13000,middle,13,1.2e-07
13000,end,14,1e-07
13000,missing,13,1e-07
13000,random,12.74,1.713e-07
14000,begin,13,9e-08
14000,middle,13,8e-08
14000,end,14,1.01e-07
14000,missing,13,1.1e-07
14000,random,13.16,1.752e-07
15000,begin,13,9.1e-08
15000,middle,13,9e-08
15000,end,14,1.01e-07
15000,missing,13,1.1e-07
15000,random,12.5,1.6496e-07
16000,begin,13,9e-08
16000,middle,13,1e-07
16000,end,14,1e-07
16000,missing,13,1.1e-07
16000,random,13.24,1.7312e-07
17000,begin,14,1.2e-07
17000,middle,14,1.1e-07
17000,end,15,1.3e-07
17000,missing,14,1.31e-07
17000,random,13.04,1.6788e-07
18000,begin,14,1e-07
18000,middle,14,1e-07
18000,end,15,1.2e-07
18000,missing,14,1.2e-07
18000,random,13.44,1.665e-07
19000,begin,14,9.1e-08
19000,middle,14,1.2e-07
19000,end,15,1.1e-07
19000,missing,14,1.1e-07
19000,random,13.64,1.7116e-07
20000,begin,14,9e-08
20000,middle,14,1.1e-07
20000,end,15,9e-08
20000,missing,14,1.1e-07
20000,random,13.34,1.7054e-07
21000,begin,14,9e-08
21000,middle,14,1.11e-07
21000,end,15,9e-08
21000,missing,14,1e-07
21000,random,13.24,1.715e-07
22000,begin,14,9e-08
22000,middle,14,8e-08
22000,end,15,1e-07
22000,missing,14,1e-07
22000,random,13.6,1.7018e-07
23000,begin,14,9e-08
23000,middle,14,9.1e-08
23000,end,15,1.11e-07
23000,missing,14,1.01e-07
23000,random,13.22,1.7116e-07
24000,begin,14,9e-08
24000,middle,14,1.1e-07
24000,end,15,1e-07
24000,missing,14,1.1e-07
24000,random,13.6,1.841e-07
25000,begin,14,9e-08
25000,middle,14,9e-08
25000,end,15,1.1e-07
25000,missing,14,1e-07
25000,random,13.62,1.7278e-07
26000,begin,14,8.1e-08
26000,middle,14,9e-08
26000,end,15,1.01e-07
26000,missing,14,1.01e-07
26000,random,13.84,1.7926e-07
27000,begin,14,8e-08
27000,middle,14,9e-08
27000,end,15,1.1e-07
27000,missing,14,1.1e-07
27000,random,13.4,1.7908e-07
28000,begin,14,9e-08
28000,middle,14,1.1e-07
28000,end,15,1.1e-07
28000,missing,14,1.1e-07
28000,random,13.74,2.1126e-07
29000,begin,14,1.1e-07
29000,middle,14,1.1e-07
29000,end,15,1.2e-07
29000,missing,14,1.2e-07
29000,random,13.4,1.7986e-07
30000,begin,14,9e-08
30000,middle,14,1.1e-07
30000,end,15,1.01e-07
30000,missing,14,1.1e-07
30000,random,13.96,1.809e-07
31000,begin,14,9e-08
31000,middle,14,1.1e-07
31000,end,15,1.1e-07
31000,missing,14,1.1e-07
31000,random,13.84,1.787e-07
32000,begin,14,9e-08
32000,middle,14,8e-08
32000,end,15,8e-08
32000,missing,14,1.1e-07
32000,random,14.04,1.7896e-07
33000,begin,15,1.4e-07
33000,middle,15,1.21e-07
33000,end,16,1.51e-07
33000,missing,15,1.4e-07
33000,random,14.04,1.7898e-07
34000,begin,15,1.3e-07
34000,middle,15,1.4e-07
34000,end,16,9.1e-08
34000,missing,15,1.31e-07
34000,random,13.84,1.7922e-07
35000,begin,15,9e-08
35000,middle,15,1.51e-07
35000,end,16,1.8e-07
35000,missing,15,1.2e-07
35000,random,13.84,1.9106e-07
36000,begin,15,1.01e-07
36000,middle,15,1.2e-07
36000,end,16,1.1e-07
36000,missing,15,1.2e-07
36000,random,14.54,3.1708e-07
37000,begin,15,9e-08
37000,middle,15,1.6e-07
37000,end,16,1.31e-07
37000,missing,15,1.1e-07
37000,random,14.08,1.7318e-07
38000,begin,15,9e-08
38000,middle,15,1.1e-07
38000,end,16,1.1e-07
38000,missing,15,1.2e-07
38000,random,14.34,1.8578e-07
39000,begin,15,9e-08
39000,middle,15,1.2e-07
39000,end,16,1.1e-07
39000,missing,15,1.1e-07
39000,random,14.32,1.808e-07
40000,begin,15,9e-08
40000,middle,15,1.1e-07
40000,end,16,1.2e-07
40000,missing,15,1.1e-07
40000,random,14.34,1.7972e-07
41000,begin,15,1.1e-07
41000,middle,15,5.71e-07
41000,end,16,1.9e-07
41000,missing,15,1.3e-07
41000,random,14.5,1.926e-07
42000,begin,15,9e-08
42000,middle,15,1.51e-07
42000,end,16,1.21e-07
42000,missing,15,1.2e-07
42000,random,14.5,2.8304e-07
43000,begin,15,8e-08
43000,middle,15,1.2e-07
43000,end,16,1.1e-07
43000,missing,15,1.2e-07
43000,random,14.84,1.8562e-07
44000,begin,15,9.1e-08
44000,middle,15,9e-08
44000,end,16,1.1e-07
44000,missing,15,1.1e-07
44000,random,14.28,1.8134e-07
45000,begin,15,9.1e-08
45000,middle,15,1.2e-07
45000,end,16,1e-07
45000,missing,15,1.2e-07
45000,random,14.1,1.8284e-07
46000,begin,15,9.1e-08
46000,middle,15,1.3e-07
46000,end,16,1e-07
46000,missing,15,1.3e-07
46000,random,14.7,1.8386e-07
47000,begin,15,9.1e-08
47000,middle,15,1.1e-07
47000,end,16,1.1e-07
47000,missing,15,1.2e-07
47000,random,14.7,1.8782e-07
48000,begin,15,9.1e-08
48000,middle,15,1.2e-07
48000,end,16,1.11e-07
48000,missing,15,1.1e-07
48000,random,14.26,1.869e-07
49000,begin,15,8e-08
49000,middle,15,1.1e-07
49000,end,16,1.11e-07
49000,missing,15,1.2e-07
