n,algorithm,comparisons,time
100,DualRandom,364.62,5.42828e-06
100,DualSelect,654.16,3.36373e-05
200,DualRandom,878.6,1.24508e-05
200,DualSelect,1549.84,6.90651e-05
300,DualRandom,1491,1.82281e-05
300,DualSelect,2545.48,0.000111763
400,DualRandom,2131.26,2.39306e-05
400,DualSelect,3581.56,0.000160435
500,DualRandom,2784.74,3.10473e-05
500,DualSelect,4680.48,0.000207387
600,DualRandom,3424.74,3.79478e-05
600,DualSelect,5819.56,0.000263311
700,DualRandom,4138.38,4.51129e-05
700,DualSelect,7009.04,0.000319171
800,DualRandom,4827.82,5.24375e-05
800,DualSelect,8208.12,0.000366783
900,DualRandom,5551.04,6.04234e-05
900,DualSelect,9413.12,0.000421909
1000,DualRandom,6264.18,6.76907e-05
1000,DualSelect,10639.4,0.000470889
1100,DualRandom,7130.74,7.47704e-05
1100,DualSelect,11865.5,0.000518138
1200,DualRandom,7814.26,8.13745e-05
1200,DualSelect,13113,0.000585938
1300,DualRandom,8762.74,9.315e-05
1300,DualSelect,14391.6,0.000676748
1400,DualRandom,9510.98,0.000101265
1400,DualSelect,15687.9,0.000751145
1500,DualRandom,10401.5,0.000110505
1500,DualSelect,17004.6,0.000831769
1600,DualRandom,11165.2,0.000130771
1600,DualSelect,18332.2,0.00089728
1700,DualRandom,11924.3,0.00012513
1700,DualSelect,19694.5,0.000926557
1800,DualRandom,12876.2,0.000131369
1800,DualSelect,21049,0.000998243
1900,DualRandom,13561.1,0.000142446
1900,DualSelect,22412.3,0.00105545
2000,DualRandom,14407.9,0.000150715
2000,DualSelect,23803.4,0.0011214
2100,DualRandom,15256.1,0.000163254
2100,DualSelect,25202.7,0.00118233
2200,DualRandom,16112,0.000160441
2200,DualSelect,26597.2,0.00123335
2300,DualRandom,16894.9,0.000171714
2300,DualSelect,28008.1,0.00128193
2400,DualRandom,17574.2,0.000179571
2400,DualSelect,29395.4,0.00136172
2500,DualRandom,18769.8,0.000184525
2500,DualSelect,30796.4,0.00139521
2600,DualRandom,19356.8,0.000192397
2600,DualSelect,32199,0.00146412
2700,DualRandom,20328.7,0.000202337
2700,DualSelect,33629.4,0.00152181
2800,DualRandom,21251.9,0.000209111
2800,DualSelect,35029.1,0.00157296
2900,DualRandom,22037.5,0.00022284
2900,DualSelect,36463.8,0.00165829
3000,DualRandom,22668.7,0.000237646
3000,DualSelect,37884.9,0.00173911
3100,DualRandom,23927.5,0.000234011
3100,DualSelect,39302,0.00227657
3200,DualRandom,24758.2,0.000244949
3200,DualSelect,40737.9,0.00194693
3300,DualRandom,25614.7,0.000259517
3300,DualSelect,42181.8,0.00204456
3400,DualRandom,26502.5,0.000257879
3400,DualSelect,43614.7,0.0019741
3500,DualRandom,27397.4,0.000277303
