n,algorithm,comparisons,time
100,QuickRandom,654.34,6.81452e-06
100,QuickSelect,739.88,2.98492e-05
200,QuickRandom,1546.4,1.26937e-05
200,QuickSelect,1773.64,6.67067e-05
300,QuickRandom,2587.84,1.85995e-05
300,QuickSelect,2905.98,9.43158e-05
400,QuickRandom,3735.76,2.72778e-05
400,QuickSelect,4088.78,0.000135854
500,QuickRandom,4922.2,3.30648e-05
500,QuickSelect,5328.18,0.000171362
600,QuickRandom,5962.5,4.05799e-05
600,QuickSelect,6528.66,0.00021588
700,QuickRandom,7135.94,4.94416e-05
700,QuickSelect,7896.52,0.000259556
800,QuickRandom,8411.4,5.52707e-05
800,QuickSelect,9272.56,0.000308305
900,QuickRandom,9659.32,6.47392e-05
900,QuickSelect,10614.1,0.000359626
1000,QuickRandom,10962.4,7.17355e-05
1000,QuickSelect,12036.8,0.000396875
1100,QuickRandom,12420.7,8.00142e-05
1100,QuickSelect,13397.6,0.00044432
1200,QuickRandom,13600.2,8.83542e-05
1200,QuickSelect,14859.9,0.00048815
1300,QuickRandom,15054.6,9.73788e-05
1300,QuickSelect,16421,0.000542012
1400,QuickRandom,16222.7,0.000108888
1400,QuickSelect,17757.2,0.000612589
1500,QuickRandom,17706.7,0.000117122
1500,QuickSelect,19319.9,0.000652782
1600,QuickRandom,19285.5,0.000126505
1600,QuickSelect,20833.8,0.000721571
1700,QuickRandom,20312.7,0.00013852
1700,QuickSelect,22298.4,0.000780204
1800,QuickRandom,21914.5,0.000143773
1800,QuickSelect,23740.3,0.000818078
1900,QuickRandom,23306.5,0.000151911
1900,QuickSelect,25534,0.0012912
2000,QuickRandom,24888.4,0.000168812
2000,QuickSelect,26766.2,0.000934426
2100,QuickRandom,26276.9,0.000176774
2100,QuickSelect,28407,0.000997123
2200,QuickRandom,27779.9,0.000176587
2200,QuickSelect,29939.1,0.00100024
2300,QuickRandom,29275.3,0.000187085
2300,QuickSelect,31660.6,0.00104829
2400,QuickRandom,30647.8,0.000191331
2400,QuickSelect,33335.5,0.00110916
2500,QuickRandom,31909.8,0.000198913
2500,QuickSelect,34734.4,0.00118096
2600,QuickRandom,33467,0.000210479
2600,QuickSelect,36401.1,0.00165593
2700,QuickRandom,35357,0.000222045
2700,QuickSelect,38118.2,0.00126454
2800,QuickRandom,36764.1,0.000230211
2800,QuickSelect,39550.9,0.00131226
2900,QuickRandom,38406.9,0.000240102
2900,QuickSelect,41202.3,0.0013656
3000,QuickRandom,39425.7,0.000249161
3000,QuickSelect,42711.8,0.00144783
3100,QuickRandom,41155.1,0.000254565
3100,QuickSelect,44509.7,0.00155493
3200,QuickRandom,42427.2,0.000261258
3200,QuickSelect,46280,0.00160663
3300,QuickRandom,44474.7,0.000273456
3300,QuickSelect,47895,0.00165071
3400,QuickRandom,45927.9,0.000281956
3400,QuickSelect,49187.2,0.00167422
3500,QuickRandom,46324.9,0.000298588
3500,QuickSelect,51372,0.00178525
3600,QuickRandom,49198.9,0.000310113
3600,QuickSelect,53065.4,0.00231238
3700,QuickRandom,50321.2,0.000322805
3700,QuickSelect,54452.2,0.00190579
3800,QuickRandom,51918,0.000327787
3800,QuickSelect,55713.1,0.00190325
3900,QuickRandom,52906.8,0.000332982
3900,QuickSelect,57546.1,0.00194727
4000,QuickRandom,55251.7,0.000350159
4000,QuickSelect,59576.9,0.00209686
4100,QuickRandom,55813.3,0.000351878
4100,QuickSelect,61350.6,0.00209944
4200,QuickRandom,58621.2,0.000369186
4200,QuickSelect,62449.2,0.00216883
4300,QuickRandom,58836.7,0.0003702
4300,QuickSelect,64261.9,0.00215874
4400,QuickRandom,61429.8,0.00039226
4400,QuickSelect,66593.3,0.00223197
4500,QuickRandom,62948.1,0.000435691
4500,QuickSelect,68086.1,0.0023177
4600,QuickRandom,65053.6,0.000409371
4600,QuickSelect,69546.9,0.00242831
4700,QuickRandom,66717.1,0.000419551
4700,QuickSelect,71659.8,0.00251068
4800,QuickRandom,68559.4,0.000417179
4800,QuickSelect,73836.6,0.00245618
4900,QuickRandom,69981.1,0.000378676
4900,QuickSelect,75087.6,0.00218753
5000,QuickRandom,71253.1,0.000331797
5000,QuickSelect,77060,0.00191686
5100,QuickRandom,72820,0.000292332
5100,QuickSelect,78719.6,0.0017363
5200,QuickRandom,74522.8,0.000273288
5200,QuickSelect,80526.5,0.00159536
5300,QuickRandom,76375,0.000253299
5300,QuickSelect,82574.3,0.00147063
5400,QuickRandom,76927.4,0.000237756
5400,QuickSelect,83774.8,0.0019374
5500,QuickRandom,79418.1,0.000239758
5500,QuickSelect,85668.5,0.00144589
5600,QuickRandom,80601.1,0.000247122
5600,QuickSelect,87308.5,0.00146689
5700,QuickRandom,82027.9,0.00025367
5700,QuickSelect,88801.6,0.00149461
5800,QuickRandom,84018.2,0.00025664
5800,QuickSelect,91402.3,0.00152601
5900,QuickRandom,85596.8,0.000260402
5900,QuickSelect,92994.8,0.00200429
6000,QuickRandom,86798.5,0.000268457
6000,QuickSelect,94601.8,0.00160401
6100,QuickRandom,89067.4,0.000270256
6100,QuickSelect,96680.2,0.00162108
6200,QuickRandom,90841.2,0.000281793
6200,QuickSelect,98454.6,0.00166005
6300,QuickRandom,92016.1,0.000287719
6300,QuickSelect,100176,0.00170674
6400,QuickRandom,93767,0.000289101
6400,QuickSelect,101959,0.00175404
6500,QuickRandom,95661,0.000289854
6500,QuickSelect,103938,0.00173585
6600,QuickRandom,97614.6,0.000294637
6600,QuickSelect,105223,0.00181007
6700,QuickRandom,99937.1,0.000306236
6700,QuickSelect,107310,0.00183467
6800,QuickRandom,99654.5,0.000307157
6800,QuickSelect,108118,0.00188292
6900,QuickRandom,103334,0.00031546
6900,QuickSelect,110994,0.00194714
7000,QuickRandom,103751,0.000318032
7000,QuickSelect,111830,0.00192702
7100,QuickRandom,106688,0.000318119
7100,QuickSelect,114251,0.00241415
7200,QuickRandom,107598,0.000324158
7200,QuickSelect,115546,0.00203627
7300,QuickRandom,109896,0.000331435
7300,QuickSelect,117603,0.00203005
7400,QuickRandom,110109,0.000342757
7400,QuickSelect,119318,0.0020894
7500,QuickRandom,112865,0.000345618
7500,QuickSelect,121301,0.00209062
7600,QuickRandom,115026,0.000354491
7600,QuickSelect,122737,0.00210906
7700,QuickRandom,115455,0.000349711
7700,QuickSelect,124493,0.00213334
7800,QuickRandom,115982,0.000355175
7800,QuickSelect,127418,0.00218426
7900,QuickRandom,118377,0.000367962
7900,QuickSelect,128585,0.00220278
8000,QuickRandom,121761,0.000368518
8000,QuickSelect,130047,0.00225825
8100,QuickRandom,122147,0.00037378
8100,QuickSelect,132273,0.00225952
8200,QuickRandom,124658,0.000377132
8200,QuickSelect,133660,0.00229496
8300,QuickRandom,126166,0.000385175
8300,QuickSelect,135475,0.00231268
8400,QuickRandom,128261,0.000386266
8400,QuickSelect,137731,0.00234775
8500,QuickRandom,130850,0.000396922
8500,QuickSelect,140097,0.00240412
8600,QuickRandom,131748,0.000403806
8600,QuickSelect,140849,0.0024407
8700,QuickRandom,133137,0.000409336
8700,QuickSelect,142965,0.00248761
8800,QuickRandom,134152,0.000412366
8800,QuickSelect,145155,0.00253684
8900,QuickRandom,136526,0.000407821
8900,QuickSelect,146597,0.00251644
9000,QuickRandom,136295,0.000420759
9000,QuickSelect,148417,0.0025683
9100,QuickRandom,138956,0.000428854
9100,QuickSelect,150506,0.00261274
9200,QuickRandom,142153,0.000424802
9200,QuickSelect,152763,0.00261707
9300,QuickRandom,142885,0.000446899
9300,QuickSelect,154388,0.00285193
9400,QuickRandom,145723,0.000452333
9400,QuickSelect,156102,0.00281699
9500,QuickRandom,146695,0.000458804
9500,QuickSelect,159402,0.00292211
9600,QuickRandom,148031,0.000939844
9600,QuickSelect,160523,0.00289423
9700,QuickRandom,150818,0.00045806
9700,QuickSelect,162051,0.00281866
9800,QuickRandom,152965,0.000461173
9800,QuickSelect,164606,0.00279597
9900,QuickRandom,154043,0.000474893
9900,QuickSelect,166414,0.0028927
10000,QuickRandom,155940,0.000488684
10000,QuickSelect,168055,0.00291859
