n,comparisons,time
100,4950,1.2634e-05
200,19900,2.107e-05
300,44850,4.5307e-05
400,79800,7.8863e-05
500,124750,0.000121364
600,179700,0.000173194
700,244650,0.000234312
800,319600,0.000304868
900,404550,0.000384322
1000,499500,0.000821156
1100,604450,0.000578466
1200,719400,0.0006781
1300,844350,0.000855843
1400,979300,0.000928433
1500,1124250,0.00106237
1600,1279200,0.00121102
1700,1444150,0.00142353
1800,1619100,0.00166875
1900,1804050,0.00169738
2000,1999000,0.00190934
2100,2203950,0.00208742
2200,2418900,0.00227466
2300,2643850,0.00250071
2400,2878800,0.00269491
2500,3123750,0.00292709
2600,3378700,0.00316455
2700,3643650,0.00340961
2800,3918600,0.00367612
2900,4203550,0.0039476
3000,4498500,0.00425274
3100,4803450,0.00470148
3200,5118400,0.0047965
3300,5443350,0.00524084
3400,5778300,0.00628816
3500,6123250,0.00584371
3600,6478200,0.0062217
3700,6843150,0.00696298
3800,7218100,0.00690369
3900,7603050,0.0260347
4000,7998000,0.00764765
4100,8402950,0.00814529
4200,8817900,0.00823029
4300,9242850,0.00873377
4400,9677800,0.0108507
4500,10122750,0.0100153
4600,10577700,0.0106095
4700,11042650,0.0103269
4800,11517600,0.00971344
4900,12002550,0.0086017
5000,12497500,0.00855784
5100,13002450,0.00733496
5200,13517400,0.00694586
5300,14042350,0.00662683
5400,14577300,0.00693866
5500,15122250,0.00748652
5600,15677200,0.00784341
5700,16242150,0.00805913
5800,16817100,0.00781233
5900,17402050,0.00839616
6000,17997000,0.00839029
6100,18601950,0.0086159
6200,19216900,0.00913711
6300,19841850,0.00935613
6400,20476800,0.0100584
6500,21121750,0.0099488
6600,21776700,0.0105493
6700,22441650,0.010716
6800,23116600,0.0112518
6900,23801550,0.0114737
7000,24496500,0.011382
7100,25201450,0.0120552
7200,25916400,0.0119911
7300,26641350,0.0132896
7400,27376300,0.0136863
7500,28121250,0.0135416
7600,28876200,0.0139719
7700,29641150,0.0138021
7800,30416100,0.0143255
7900,31201050,0.0145017
8000,31996000,0.0152133
8100,32800950,0.0159553
8200,33615900,0.0160228
8300,34440850,0.016707
8400,35275800,0.0170837
8500,36120750,0.0173685
8600,36975700,0.0181879
8700,37840650,0.0184519
8800,38715600,0.0188746
8900,39600550,0.0192357
9000,40495500,0.0196595
9100,41400450,0.0192704
9200,42315400,0.0205791
9300,43240350,0.0223402
9400,44175300,0.0220844
9500,45120250,0.0230196
9600,46075200,0.022484
9700,47040150,0.0226544
9800,48015100,0.0233981
9900,49000050,0.023208
10000,49995000,0.0240274
