n,avg_comp,avg_ptr,avg_height,max_comp,max_ptr,max_height
10000,5002.88,3752.07,5000,19973,10000,10000
20000,10007.9,7504.56,10000,39901,20000,20000
30000,15006.9,11254.1,15000,59899,30000,30000
40000,20004.5,15002.9,20000,79821,40000,40000
50000,24984.2,18742.7,25000,99781,50000,50000
60000,30004.4,22502.8,30000,119817,60000,60000
70000,34997.5,26249.4,35000,139751,70000,70000
80000,40014.5,30007.9,40000,159829,80000,80000
90000,45002.1,33751.7,45000,179843,90000,90000
100000,49988.6,37494.9,50000,199839,100000,100000
